experiment,display_name,group,fold,window_accuracy,window_macro_f1,window_precision,window_recall,best_session_method,session_accuracy,session_macro_f1,session_precision,session_recall,best_epoch
hcaf_base_5s,HCAF base audio,main,repeat1_fold1,0.8040816326530612,0.8071212952047998,0.8520902547065338,0.8070757785887194,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,7
hcaf_base_5s,HCAF base audio,main,repeat1_fold2,0.9953106682297772,0.9953395088531867,0.9942601926422844,0.9964633068081344,majority_voting,1.0,1.0,1.0,1.0,1
hcaf_base_5s,HCAF base audio,main,repeat1_fold3,0.9483695652173914,0.9206723791375845,0.902996815164422,0.9563218390804598,majority_voting,1.0,1.0,1.0,1.0,2
hcaf_pcen96_highpass80_5s,HCAF + PCEN96 HP80,main,repeat1_fold1,0.7820408163265307,0.7734457845266555,0.8748042372388709,0.7732737559470232,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,6
hcaf_pcen96_highpass80_5s,HCAF + PCEN96 HP80,main,repeat1_fold2,0.9683470105509965,0.9608762398689646,0.9689441211564146,0.9560197727580229,majority_voting,1.0,1.0,1.0,1.0,6
hcaf_pcen96_highpass80_5s,HCAF + PCEN96 HP80,main,repeat1_fold3,0.9266304347826086,0.9295595708639187,0.9271867612293144,0.9333273931509698,majority_voting,1.0,1.0,1.0,1.0,5
hcaf_preemphasis_fixed_crop_5s,HCAF + preemphasis + fixed top crop,main,repeat1_fold1,0.7771428571428571,0.790907313911866,0.8035449066249245,0.8142906604779108,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,2
hcaf_preemphasis_fixed_crop_5s,HCAF + preemphasis + fixed top crop,main,repeat1_fold2,0.9953106682297772,0.9948381274675691,0.9932998324958123,0.9964633068081344,majority_voting,1.0,1.0,1.0,1.0,2
hcaf_preemphasis_fixed_crop_5s,HCAF + preemphasis + fixed top crop,main,repeat1_fold3,0.7404891304347826,0.6608938799440761,0.7690674702829399,0.7804597701149425,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,3
hcaf_preemphasis_12k_5s,HCAF + preemphasis 12k,main,repeat1_fold1,0.8089795918367347,0.8022067363530777,0.8955823293172691,0.8069306930693069,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,7
hcaf_preemphasis_12k_5s,HCAF + preemphasis 12k,main,repeat1_fold2,0.9660023446658851,0.9616517844242162,0.9683295540438398,0.9562039493073975,majority_voting,1.0,1.0,1.0,1.0,1
hcaf_preemphasis_12k_5s,HCAF + preemphasis 12k,main,repeat1_fold3,0.9578804347826086,0.9185515787648684,0.9353811536717189,0.9059483501143486,majority_voting,1.0,1.0,1.0,1.0,2
