experiment,display_name,fold,window_macro_f1,session_macro_f1,best_epoch
audio_logmel64_base,log-Mel 64 base,repeat1_fold1,0.23383897939372433,0.16666666666666666,1
audio_logmel64_base,log-Mel 64 base,repeat1_fold2,0.555959363843466,0.5555555555555555,2
audio_logmel64_base,log-Mel 64 base,repeat1_fold3,0.843349530693918,0.8222222222222223,4
audio_logmel128,log-Mel 128,repeat1_fold1,0.40444853551554755,0.41269841269841273,3
audio_logmel128,log-Mel 128,repeat1_fold2,0.5119387869040647,0.5555555555555555,5
audio_logmel128,log-Mel 128,repeat1_fold3,0.9600679007355913,1.0,4
audio_logmel96_highpass80,log-Mel 96 + HP80,repeat1_fold1,0.39593021487108543,0.41269841269841273,3
audio_logmel96_highpass80,log-Mel 96 + HP80,repeat1_fold2,0.7431176445014108,0.5555555555555555,4
audio_logmel96_highpass80,log-Mel 96 + HP80,repeat1_fold3,0.46789718880627973,0.38888888888888884,4
audio_logmel96_bandpass150_5000,log-Mel 96 + BP150-5000,repeat1_fold1,0.28175265838843583,0.16666666666666666,4
audio_logmel96_bandpass150_5000,log-Mel 96 + BP150-5000,repeat1_fold2,0.2111899133175729,0.16666666666666666,2
audio_logmel96_bandpass150_5000,log-Mel 96 + BP150-5000,repeat1_fold3,0.5700111385721464,0.5555555555555555,1
audio_logmel64_preemphasis,log-Mel 64 + preemphasis,repeat1_fold1,0.4487926204964745,0.41269841269841273,2
audio_logmel64_preemphasis,log-Mel 64 + preemphasis,repeat1_fold2,0.8024774697927463,1.0,6
audio_logmel64_preemphasis,log-Mel 64 + preemphasis,repeat1_fold3,0.699087111447685,0.8222222222222223,2
audio_db96_highpass80,dB-Mel 96 + HP80,repeat1_fold1,0.1879916397491925,0.16666666666666666,1
audio_db96_highpass80,dB-Mel 96 + HP80,repeat1_fold2,0.3796006107360977,0.41269841269841273,3
audio_db96_highpass80,dB-Mel 96 + HP80,repeat1_fold3,0.5918641859756476,0.6666666666666666,4
audio_pcen64,PCEN 64,repeat1_fold1,0.3083250291344402,0.16666666666666666,2
audio_pcen64,PCEN 64,repeat1_fold2,0.25332960627078277,0.16666666666666666,1
audio_pcen64,PCEN 64,repeat1_fold3,0.5539495433383922,0.5555555555555555,2
audio_pcen96_highpass80,PCEN 96 + HP80,repeat1_fold1,0.3997055576002945,0.16666666666666666,1
audio_pcen96_highpass80,PCEN 96 + HP80,repeat1_fold2,0.535504709750181,1.0,5
audio_pcen96_highpass80,PCEN 96 + HP80,repeat1_fold3,0.8533934007296958,1.0,6
audio_logmel64_delta2,log-Mel 64 + delta/delta2,repeat1_fold1,0.3131250128885175,0.16666666666666666,3
audio_logmel64_delta2,log-Mel 64 + delta/delta2,repeat1_fold2,0.8535107764560395,0.8222222222222223,2
audio_logmel64_delta2,log-Mel 64 + delta/delta2,repeat1_fold3,0.6938031426352755,0.8222222222222223,2
