experiment,display_name,fold,window_macro_f1,session_macro_f1,best_epoch
audio_preemphasis_16k,preemphasis 16k,repeat1_fold1,0.7959637763389181,0.8222222222222223,6
audio_preemphasis_16k,preemphasis 16k,repeat1_fold2,0.9308288221993665,0.8222222222222223,2
audio_preemphasis_16k,preemphasis 16k,repeat1_fold3,0.8647614687898506,1.0,4
audio_preemphasis_12k,preemphasis 12k,repeat1_fold1,0.7782149396684713,0.8222222222222223,1
audio_preemphasis_12k,preemphasis 12k,repeat1_fold2,1.0,1.0,3
audio_preemphasis_12k,preemphasis 12k,repeat1_fold3,0.7820157868321393,0.8222222222222223,2
audio_preemphasis_8k,preemphasis 8k,repeat1_fold1,0.4470132369733444,0.41269841269841273,4
audio_preemphasis_8k,preemphasis 8k,repeat1_fold2,0.9935554015762226,1.0,5
audio_preemphasis_8k,preemphasis 8k,repeat1_fold3,0.647100716184062,0.8222222222222223,3
audio_preemphasis_adaptive_crop,preemphasis + adaptive top crop,repeat1_fold1,0.8610959115937695,1.0,5
audio_preemphasis_adaptive_crop,preemphasis + adaptive top crop,repeat1_fold2,0.5625775912848999,0.5555555555555555,2
audio_preemphasis_adaptive_crop,preemphasis + adaptive top crop,repeat1_fold3,0.6521813007094006,0.6666666666666666,4
audio_preemphasis_fixed_crop,preemphasis + fixed top crop,repeat1_fold1,0.7993793716984726,0.8222222222222223,4
audio_preemphasis_fixed_crop,preemphasis + fixed top crop,repeat1_fold2,0.9804253717297197,1.0,3
audio_preemphasis_fixed_crop,preemphasis + fixed top crop,repeat1_fold3,0.6283746041914295,0.8222222222222223,2
audio_pcen96_hp80,PCEN96 HP80,repeat1_fold1,0.4976556742092801,0.5555555555555555,3
audio_pcen96_hp80,PCEN96 HP80,repeat1_fold2,0.7368290813830853,1.0,5
audio_pcen96_hp80,PCEN96 HP80,repeat1_fold3,0.5877970877654088,0.8222222222222223,1
audio_pcen96_hp80_adaptive_crop,PCEN96 HP80 + adaptive top crop,repeat1_fold1,0.6947760460419139,0.8222222222222223,6
audio_pcen96_hp80_adaptive_crop,PCEN96 HP80 + adaptive top crop,repeat1_fold2,0.6660931746580862,0.8222222222222223,4
audio_pcen96_hp80_adaptive_crop,PCEN96 HP80 + adaptive top crop,repeat1_fold3,0.3855666219641716,0.5333333333333333,3
