experiment,display_name,group,fold,window_accuracy,window_macro_f1,window_precision,window_recall,best_session_method,session_accuracy,session_macro_f1,session_precision,session_recall,best_epoch
audio_only_pcen96hp80_5s,Audio-only PCEN96 HP80,main,repeat1_fold1,0.7975510204081633,0.7993897288205961,0.826972910204951,0.7881759771632969,majority_voting,1.0,1.0,1.0,1.0,3
audio_only_pcen96hp80_5s,Audio-only PCEN96 HP80,main,repeat1_fold2,0.6647127784290738,0.6624721842507257,0.7885687158508116,0.6631524186807044,majority_voting,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,3
audio_only_pcen96hp80_5s,Audio-only PCEN96 HP80,main,repeat1_fold3,0.688858695652174,0.6538790814894032,0.6448574003206592,0.6999079271733643,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,1
pressure_flow_5s,Pressure+Flow-only,main,repeat1_fold1,0.8604081632653061,0.8573698344891142,0.8873631471516051,0.8442522823710942,majority_voting,1.0,1.0,1.0,1.0,6
pressure_flow_5s,Pressure+Flow-only,main,repeat1_fold2,0.9906213364595545,0.9895820498978031,0.986863711001642,0.9926245472938318,majority_voting,1.0,1.0,1.0,1.0,4
pressure_flow_5s,Pressure+Flow-only,main,repeat1_fold3,0.45652173913043476,0.4028776978417266,0.3742761158214685,0.6206896551724138,majority_voting,0.6666666666666666,0.5555555555555555,0.5,0.6666666666666666,2
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_5s,HCAF final compressed multimodal,main,repeat1_fold1,0.8538775510204082,0.856151679675539,0.913776493256262,0.8512815567271012,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,5
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_5s,HCAF final compressed multimodal,main,repeat1_fold2,0.9472450175849941,0.9347445465584384,0.9491431409350954,0.9285514556345333,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,8
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_5s,HCAF final compressed multimodal,main,repeat1_fold3,0.9660326086956522,0.9679625337520075,0.9668124817731117,0.9712643678160919,majority_voting,1.0,1.0,1.0,1.0,7
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_minus_audio_5s,HCAF final compressed without audio,ablation,repeat1_fold1,0.8653061224489796,0.8683098748488042,0.916893006111165,0.863089880416613,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,6
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_minus_audio_5s,HCAF final compressed without audio,ablation,repeat1_fold2,0.9097303634232122,0.8897321658675402,0.92321716185189,0.8815797229590333,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,2
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_minus_audio_5s,HCAF final compressed without audio,ablation,repeat1_fold3,0.938858695652174,0.9036530966399942,0.8936762583821407,0.921457423742909,majority_voting,1.0,1.0,1.0,1.0,2
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_minus_pressure_5s,HCAF final compressed without pressure,ablation,repeat1_fold1,0.9387755102040817,0.9428011365521772,0.9559367505385961,0.9372654475138407,majority_voting,1.0,1.0,1.0,1.0,2
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_minus_pressure_5s,HCAF final compressed without pressure,ablation,repeat1_fold2,0.9284876905041032,0.9086177684095098,0.9345277229892615,0.9006778661951076,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,7
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_minus_pressure_5s,HCAF final compressed without pressure,ablation,repeat1_fold3,0.9619565217391305,0.9621428018002587,0.9590132755144737,0.9680395913154535,majority_voting,1.0,1.0,1.0,1.0,6
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_minus_flow_5s,HCAF final compressed without flow,ablation,repeat1_fold1,0.6791836734693878,0.6540445231471167,0.7552220713489074,0.6514513815625506,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,1
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_minus_flow_5s,HCAF final compressed without flow,ablation,repeat1_fold2,0.9284876905041032,0.9223732174546758,0.9251401185668428,0.9236223206035453,majority_voting,1.0,1.0,1.0,1.0,4
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_minus_flow_5s,HCAF final compressed without flow,ablation,repeat1_fold3,0.9755434782608695,0.9740144021837577,0.974110706924945,0.9743042561406635,majority_voting,1.0,1.0,1.0,1.0,5
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_audio_only_5s,HCAF final compressed audio only,ablation,repeat1_fold1,0.7991836734693878,0.7886671571204414,0.8267059458715819,0.7800073658159468,majority_voting,1.0,1.0,1.0,1.0,2
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_audio_only_5s,HCAF final compressed audio only,ablation,repeat1_fold2,0.5404454865181711,0.5184901880804502,0.7234173054654773,0.6085988213120377,majority_voting,0.5,0.41269841269841273,0.4666666666666666,0.5,2
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_audio_only_5s,HCAF final compressed audio only,ablation,repeat1_fold3,0.8532608695652174,0.8284218153409023,0.8455611761375524,0.8148059045412693,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,4
