experiment,display_name,group,fold,window_accuracy,window_macro_f1,window_precision,window_recall,best_session_method,session_accuracy,session_macro_f1,session_precision,session_recall,best_epoch
audio_only_5s,Audio-only,main,repeat1_fold1,0.40016570008285,0.240206841881113,0.5435024055620408,0.3634935167459891,majority_voting,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.3333333333333333,1
audio_only_5s,Audio-only,main,repeat1_fold2,0.9261822376009228,0.906742375813184,0.9092198581560283,0.927437641723356,majority_voting,1.0,1.0,1.0,1.0,1
audio_only_5s,Audio-only,main,repeat1_fold3,0.8283783783783784,0.8142050170857318,0.8544845761340607,0.8540229885057471,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,1
pressure_flow_5s,Pressure+Flow-only,main,repeat1_fold1,0.8367854183927091,0.8517765669652798,0.899592252803262,0.8589220723208814,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,5
pressure_flow_5s,Pressure+Flow-only,main,repeat1_fold2,0.9653979238754326,0.9556203577078808,0.9502487562189055,0.966595593461265,majority_voting,1.0,1.0,1.0,1.0,6
pressure_flow_5s,Pressure+Flow-only,main,repeat1_fold3,0.9513513513513514,0.9580736268017139,0.9625,0.9586206896551724,majority_voting,1.0,1.0,1.0,1.0,6
gated_baseline_5s,Gated Fusion Baseline,main,repeat1_fold1,0.748135874067937,0.7485273917585369,0.8458635265700484,0.7792994907726184,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,5
gated_baseline_5s,Gated Fusion Baseline,main,repeat1_fold2,0.46366782006920415,0.24572744587974593,0.1944492813392598,0.33445346367577317,majority_voting,0.3333333333333333,0.2222222222222222,0.16666666666666666,0.3333333333333333,1
gated_baseline_5s,Gated Fusion Baseline,main,repeat1_fold3,0.9540540540540541,0.949556841422079,0.9446603377399225,0.960919540229885,majority_voting,1.0,1.0,1.0,1.0,3
hcaf_net_5s,HCAF-Net,main,repeat1_fold1,0.4299917149958575,0.3879777075606719,0.551838400143485,0.40027821535511815,majority_voting,0.3333333333333333,0.27777777777777773,0.25,0.3333333333333333,2
hcaf_net_5s,HCAF-Net,main,repeat1_fold2,0.9919261822376009,0.9916202289672955,0.990531189844441,0.9927709584313781,majority_voting,1.0,1.0,1.0,1.0,7
hcaf_net_5s,HCAF-Net,main,repeat1_fold3,0.9540540540540541,0.9486724035191026,0.9433333333333334,0.9606767039015703,majority_voting,1.0,1.0,1.0,1.0,7
hcaf_net_10s,HCAF-Net 10 s,window,repeat1_fold1,0.4750830564784053,0.38464592578495793,0.5425316285781402,0.42663197731948954,majority_voting,0.5,0.41269841269841273,0.4666666666666666,0.5,3
hcaf_net_10s,HCAF-Net 10 s,window,repeat1_fold2,0.745958429561201,0.6697722567287784,0.8119658119658121,0.7505668934240363,majority_voting,0.6666666666666666,0.5555555555555555,0.5,0.6666666666666666,6
hcaf_net_10s,HCAF-Net 10 s,window,repeat1_fold3,0.7018970189701897,0.6809737579242223,0.6945963185711682,0.6825414499895363,majority_voting,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,4
hcaf_net_minus_audio_5s,HCAF-Net without audio,ablation,repeat1_fold1,0.6669428334714167,0.5394193117403318,0.5636026352907854,0.5846500817960517,majority_voting,0.5,0.41269841269841273,0.4666666666666666,0.5,2
hcaf_net_minus_audio_5s,HCAF-Net without audio,ablation,repeat1_fold2,0.9492502883506344,0.9355311733950629,0.9317829457364342,0.9507225775882492,majority_voting,1.0,1.0,1.0,1.0,5
hcaf_net_minus_audio_5s,HCAF-Net without audio,ablation,repeat1_fold3,0.8783783783783784,0.8693469388716509,0.8792261090482705,0.8965274405050995,majority_voting,1.0,1.0,1.0,1.0,5
hcaf_net_minus_pressure_5s,HCAF-Net without pressure,ablation,repeat1_fold1,0.48301574150787074,0.37025657836613796,0.5299973210383092,0.4275350483016893,majority_voting,0.5,0.41269841269841273,0.4666666666666666,0.5,2
hcaf_net_minus_pressure_5s,HCAF-Net without pressure,ablation,repeat1_fold2,0.6551326412918108,0.5096511484425955,0.4551282051282051,0.6625207296849088,majority_voting,0.6666666666666666,0.5555555555555555,0.5,0.6666666666666666,2
hcaf_net_minus_pressure_5s,HCAF-Net without pressure,ablation,repeat1_fold3,0.9175675675675675,0.9106972652018009,0.9092376930266776,0.9281678437889488,majority_voting,1.0,1.0,1.0,1.0,9
hcaf_net_minus_flow_5s,HCAF-Net without flow,ablation,repeat1_fold1,0.6304888152444076,0.602130799409711,0.7793276234242156,0.5988622192575705,majority_voting,0.5,0.41269841269841273,0.4666666666666666,0.5,2
hcaf_net_minus_flow_5s,HCAF-Net without flow,ablation,repeat1_fold2,0.6412918108419838,0.5097237197462144,0.5236918854005833,0.6289396792146204,majority_voting,0.6666666666666666,0.5555555555555555,0.5,0.6666666666666666,3
hcaf_net_minus_flow_5s,HCAF-Net without flow,ablation,repeat1_fold3,0.9324324324324325,0.9271802702245561,0.9241559873225852,0.9425287356321839,majority_voting,1.0,1.0,1.0,1.0,4
