experiment,display_name,group,fold,window_accuracy,window_macro_f1,window_precision,window_recall,best_session_method,session_accuracy,session_macro_f1,session_precision,session_recall,best_epoch
hcaf_audio_r18img_audio_only_5s,Audio R18 ImageNet audio only 5 s,main,repeat1_fold1,0.8024489795918367,0.7915984648818606,0.8871167208516607,0.8000728644293001,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,2
hcaf_audio_r18img_audio_only_5s,Audio R18 ImageNet audio only 5 s,main,repeat1_fold2,0.9718640093786636,0.9663028949368374,0.9690635451505017,0.964750957854406,majority_voting,1.0,1.0,1.0,1.0,4
hcaf_audio_r18img_audio_only_5s,Audio R18 ImageNet audio only 5 s,main,repeat1_fold3,0.8926630434782609,0.8549407414804465,0.8401966060345137,0.9264048531289909,majority_voting,1.0,1.0,1.0,1.0,5
pressure_flow_5s,Pressure+Flow-only,main,repeat1_fold1,0.8604081632653061,0.8573698344891142,0.8873631471516051,0.8442522823710942,majority_voting,1.0,1.0,1.0,1.0,6
pressure_flow_5s,Pressure+Flow-only,main,repeat1_fold2,0.9906213364595545,0.9895820498978031,0.986863711001642,0.9926245472938318,majority_voting,1.0,1.0,1.0,1.0,4
pressure_flow_5s,Pressure+Flow-only,main,repeat1_fold3,0.45652173913043476,0.4028776978417266,0.3742761158214685,0.6206896551724138,majority_voting,0.6666666666666666,0.5555555555555555,0.5,0.6666666666666666,2
hcaf_audio_r18img_pq_directconcat_5s,Audio R18 + PQ direct concat 5 s,main,repeat1_fold1,0.8057142857142857,0.7982953608583642,0.8935808903365907,0.8031160258883031,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,4
hcaf_audio_r18img_pq_directconcat_5s,Audio R18 + PQ direct concat 5 s,main,repeat1_fold2,0.7643610785463072,0.574356496477508,0.5086552137136013,0.6595492289442467,majority_voting,0.6666666666666666,0.5333333333333333,0.4444444444444444,0.6666666666666666,1
hcaf_audio_r18img_pq_directconcat_5s,Audio R18 + PQ direct concat 5 s,main,repeat1_fold3,0.9823369565217391,0.9674928246356819,0.970971132853562,0.9643626184323858,majority_voting,1.0,1.0,1.0,1.0,5
hcaf_audio_r18img_pq_xattn_5s,Audio R18 + PQ cross-attention 5 s,main,repeat1_fold1,0.8155102040816327,0.8094314959579801,0.8957881891048044,0.8135313531353136,majority_voting,0.8333333333333334,0.8222222222222223,0.8888888888888888,0.8333333333333334,5
hcaf_audio_r18img_pq_xattn_5s,Audio R18 + PQ cross-attention 5 s,main,repeat1_fold2,0.9671746776084408,0.9599032790780205,0.9638528416634545,0.9576112846943624,majority_voting,1.0,1.0,1.0,1.0,2
hcaf_audio_r18img_pq_xattn_5s,Audio R18 + PQ cross-attention 5 s,main,repeat1_fold3,0.970108695652174,0.9741739612053535,0.9748340929079715,0.9749361430395913,majority_voting,1.0,1.0,1.0,1.0,6
