session_id,fold,true_label,pred_label,correct,num_windows,mean_audio_gate,std_audio_gate,mean_sensor_gate,window_error_rate,mean_final_confidence
MMdata_1071.50s_0327_201445_4ml,repeat1_fold1,2,2,1,214,0.9134957620473666,0.010730738751742103,0.0865042383356072,0.0,0.9988722447479996
MMdata_1200.00s_0322_232833_2ml_yumi,repeat1_fold1,1,1,1,240,0.009467511540666844,0.004829071783174822,0.9905324878791968,0.2791666666666667,0.9304244761665662
MMdata_1973.40s_0320_224508_no_secretion,repeat1_fold1,0,0,1,394,0.017593453333330185,0.0034388146570914655,0.982406551160183,0.0,0.9969766680056673
MMdata_474.50s_0323_001822_4ml_yumi,repeat1_fold1,2,2,1,94,0.8783261967882355,0.1505869913034944,0.12167379759410595,0.031914893617021274,0.9966938419544951
MMdata_598.25s_0322_224923_no_secretion,repeat1_fold1,0,0,1,119,0.0156793432748493,0.004180410811800714,0.9843206550894665,0.01680672268907563,0.9912249919246224
MMdata_820.00s_0327_172321_2ml,repeat1_fold1,1,1,1,164,0.017890821577322375,0.008868329147457625,0.9821091795839915,0.0,0.9897926260785359
MMdata_1136.50s_0327_183428_2ml,repeat1_fold2,1,1,1,227,0.37781499148990616,0.013932852749139055,0.6221850110045614,0.0,0.9981808730684189
MMdata_272.75s_0327_174501_2ml,repeat1_fold2,1,1,1,54,0.37735807012628625,0.014050051642807046,0.6226419276661344,0.0,0.9981055734334169
MMdata_318.75s_0327_175326_no,repeat1_fold2,0,1,0,63,0.30525584306035725,0.07034271322331444,0.6947441545743791,0.9523809523809523,0.9864652364973038
MMdata_660.75s_0327_164500_no_secretion,repeat1_fold2,0,0,1,132,0.040429509047305946,0.0020532206726574876,0.9595704999837008,0.0,0.9987456410220175
MMdata_943.75s_0327_195859_4ml,repeat1_fold2,2,2,1,188,0.862701397309912,0.13157699235660242,0.13729860088688897,0.026595744680851064,0.9924724807447576
MMdata_949.50s_0323_000227_4ml_yumi,repeat1_fold2,2,2,1,189,0.8093461458172116,0.12710086105484786,0.19065385406452512,0.09523809523809523,0.9613667565678793
MMdata_1012.15s_0321_003441_yumi_4ml,repeat1_fold3,2,2,1,202,0.049597922846269196,0.025333296237537474,0.9504020801275084,0.1188118811881188,0.9911577208797531
MMdata_1200.00s_0327_172321_2ml,repeat1_fold3,1,1,1,240,0.006206509753246792,0.002111822836083793,0.9937934873004755,0.0,0.9976531473298867
MMdata_195.00s_0322_230906_no_secretion,repeat1_fold3,0,0,1,39,0.009139337547075672,0.007686853387291873,0.990860654757573,0.38461538461538464,0.8167135730767862
MMdata_235.00s_0320_224031_no_secretion,repeat1_fold3,0,0,1,47,0.036124078556895256,0.014483939379925854,0.9638759164099998,0.0,0.9930370335883283
MMdata_442.75s_0327_203239_4ml,repeat1_fold3,2,2,1,88,0.034882376372644845,0.012025855727346836,0.9651176245375113,0.0,0.9999499903483824
MMdata_600.00s_0327_185444_2ml,repeat1_fold3,1,1,1,120,0.008588624248902003,0.003947482131789625,0.9914113725225131,0.0,0.9972238838672638
